20:13:06.958 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/graham/Bin/gatk-4.2.0.0/gatk-package-4.2.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
Jun 14, 2021 8:13:07 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
20:13:07.064 INFO  HaplotypeCaller - ------------------------------------------------------------
20:13:07.064 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.2.0.0
20:13:07.064 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
20:13:07.064 INFO  HaplotypeCaller - Executing as graham@deathstar on Linux v4.15.0-142-generic amd64
20:13:07.064 INFO  HaplotypeCaller - Java runtime: Java HotSpot(TM) 64-Bit Server VM v14+36-1461
20:13:07.065 INFO  HaplotypeCaller - Start Date/Time: 14 June 2021 at 20:13:06 BST
20:13:07.065 INFO  HaplotypeCaller - ------------------------------------------------------------
20:13:07.065 INFO  HaplotypeCaller - ------------------------------------------------------------
20:13:07.065 INFO  HaplotypeCaller - HTSJDK Version: 2.24.0
20:13:07.065 INFO  HaplotypeCaller - Picard Version: 2.25.0
20:13:07.065 INFO  HaplotypeCaller - Built for Spark Version: 2.4.5
20:13:07.065 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
20:13:07.065 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
20:13:07.066 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
20:13:07.066 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
20:13:07.066 INFO  HaplotypeCaller - Deflater: IntelDeflater
20:13:07.066 INFO  HaplotypeCaller - Inflater: IntelInflater
20:13:07.066 INFO  HaplotypeCaller - GCS max retries/reopens: 20
20:13:07.066 INFO  HaplotypeCaller - Requester pays: disabled
20:13:07.066 INFO  HaplotypeCaller - Initializing engine
20:13:07.213 INFO  HaplotypeCaller - Done initializing engine
