22:03:22.185 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/graham/Bin/gatk-4.2.0.0/gatk-package-4.2.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
Jun 09, 2021 10:03:22 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
22:03:22.393 INFO  HaplotypeCaller - ------------------------------------------------------------
22:03:22.394 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.2.0.0
22:03:22.394 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
22:03:22.394 INFO  HaplotypeCaller - Executing as graham@deathstar on Linux v4.15.0-142-generic amd64
22:03:22.394 INFO  HaplotypeCaller - Java runtime: Java HotSpot(TM) 64-Bit Server VM v14+36-1461
22:03:22.394 INFO  HaplotypeCaller - Start Date/Time: 9 June 2021 at 22:03:22 BST
22:03:22.394 INFO  HaplotypeCaller - ------------------------------------------------------------
22:03:22.394 INFO  HaplotypeCaller - ------------------------------------------------------------
22:03:22.395 INFO  HaplotypeCaller - HTSJDK Version: 2.24.0
22:03:22.395 INFO  HaplotypeCaller - Picard Version: 2.25.0
22:03:22.395 INFO  HaplotypeCaller - Built for Spark Version: 2.4.5
22:03:22.395 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
22:03:22.395 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
22:03:22.395 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
22:03:22.395 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
22:03:22.396 INFO  HaplotypeCaller - Deflater: IntelDeflater
22:03:22.396 INFO  HaplotypeCaller - Inflater: IntelInflater
22:03:22.396 INFO  HaplotypeCaller - GCS max retries/reopens: 20
22:03:22.396 INFO  HaplotypeCaller - Requester pays: disabled
22:03:22.396 INFO  HaplotypeCaller - Initializing engine
22:03:22.646 INFO  HaplotypeCaller - Done initializing engine
22:03:22.647 INFO  HaplotypeCallerEngine - Tool is in reference confidence mode and the annotation, the following changes will be made to any specified annotations: 'StrandBiasBySample' will be enabled. 'ChromosomeCounts', 'FisherStrand', 'StrandOddsRatio' and 'QualByDepth' annotations have been disabled
22:03:22.667 INFO  HaplotypeCallerEngine - Standard Emitting and Calling confidence set to 0.0 for reference-model confidence output
22:03:22.669 INFO  HaplotypeCallerEngine - All sites annotated with PLs forced to true for reference-model confidence output
22:03:22.684 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/home/graham/Bin/gatk-4.2.0.0/gatk-package-4.2.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
22:03:22.687 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/home/graham/Bin/gatk-4.2.0.0/gatk-package-4.2.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
22:03:22.720 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
22:03:22.720 INFO  IntelPairHmm - Available threads: 8
22:03:22.721 INFO  IntelPairHmm - Requested threads: 4
22:03:22.721 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
22:03:22.767 INFO  ProgressMeter - Starting traversal
22:03:22.768 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
22:03:23.861 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position 1:5265 and possibly subsequent; at least 10 samples must have called genotypes
22:03:23.909 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:5325 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:23.913 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:5325 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:24.070 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:6065 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:24.070 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:6065 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:24.397 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:15220 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:24.397 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:15220 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:24.398 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:15222 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:24.398 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:15222 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:24.399 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:15223 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:24.400 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:15223 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:24.709 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:26624 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:24.721 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:26624 and possibly subsequent; genotype for sample SRR3740278 is not called
22:03:24.722 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:26625 and possibly subsequent; genotype for sample SRR3740278 is not called
