07:17:21.930 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/graham/Bin/gatk-4.2.0.0/gatk-package-4.2.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
Jun 08, 2021 7:17:22 AM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
07:17:22.025 INFO  HaplotypeCaller - ------------------------------------------------------------
07:17:22.025 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.2.0.0
07:17:22.025 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
07:17:22.026 INFO  HaplotypeCaller - Executing as graham@deathstar on Linux v4.15.0-142-generic amd64
07:17:22.026 INFO  HaplotypeCaller - Java runtime: Java HotSpot(TM) 64-Bit Server VM v14+36-1461
07:17:22.026 INFO  HaplotypeCaller - Start Date/Time: 8 June 2021 at 07:17:21 BST
07:17:22.026 INFO  HaplotypeCaller - ------------------------------------------------------------
07:17:22.026 INFO  HaplotypeCaller - ------------------------------------------------------------
07:17:22.026 INFO  HaplotypeCaller - HTSJDK Version: 2.24.0
07:17:22.026 INFO  HaplotypeCaller - Picard Version: 2.25.0
07:17:22.026 INFO  HaplotypeCaller - Built for Spark Version: 2.4.5
07:17:22.026 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
07:17:22.027 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
07:17:22.027 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
07:17:22.027 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
07:17:22.027 INFO  HaplotypeCaller - Deflater: IntelDeflater
07:17:22.027 INFO  HaplotypeCaller - Inflater: IntelInflater
07:17:22.027 INFO  HaplotypeCaller - GCS max retries/reopens: 20
07:17:22.027 INFO  HaplotypeCaller - Requester pays: disabled
07:17:22.027 INFO  HaplotypeCaller - Initializing engine
07:17:22.176 INFO  HaplotypeCaller - Done initializing engine
07:17:22.177 INFO  HaplotypeCallerEngine - Tool is in reference confidence mode and the annotation, the following changes will be made to any specified annotations: 'StrandBiasBySample' will be enabled. 'ChromosomeCounts', 'FisherStrand', 'StrandOddsRatio' and 'QualByDepth' annotations have been disabled
07:17:22.181 INFO  HaplotypeCallerEngine - Standard Emitting and Calling confidence set to 0.0 for reference-model confidence output
07:17:22.181 INFO  HaplotypeCallerEngine - All sites annotated with PLs forced to true for reference-model confidence output
07:17:22.188 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/home/graham/Bin/gatk-4.2.0.0/gatk-package-4.2.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
07:17:22.189 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/home/graham/Bin/gatk-4.2.0.0/gatk-package-4.2.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
07:17:22.214 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
07:17:22.214 INFO  IntelPairHmm - Available threads: 8
07:17:22.215 INFO  IntelPairHmm - Requested threads: 4
07:17:22.215 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
07:17:22.233 INFO  ProgressMeter - Starting traversal
07:17:22.234 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
07:17:22.516 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position 1:550 and possibly subsequent; at least 10 samples must have called genotypes
07:17:22.608 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:1796 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:22.609 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:1796 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:22.889 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:15146 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:22.889 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:15146 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:22.890 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:15202 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:22.890 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:15202 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:22.891 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:15204 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:22.891 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:15204 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:22.892 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:15205 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:22.892 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:15205 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.019 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:32469 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.019 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:32469 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.020 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:32495 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.020 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:32495 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.219 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:50872 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.219 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:50872 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.220 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:50888 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.220 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:50888 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.565 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:86077 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.565 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:86077 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.626 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:91754 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.626 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:91754 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.644 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:92153 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.644 WARN  StrandBiasBySample - Annotation will not be calculated at position 1:92153 and possibly subsequent; genotype for sample SRR3740255 is not called
07:17:23.645 WARN  DepthPerSampleHC - Annotation will not be calculated at position 1:92165 and possibly subsequent; genotype for sample SRR3740255 is not called
