01:22:57.999 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/graham/Bin/gatk-4.2.0.0/gatk-package-4.2.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
Jun 15, 2021 1:22:58 AM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
01:22:58.092 INFO  HaplotypeCaller - ------------------------------------------------------------
01:22:58.093 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.2.0.0
01:22:58.093 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
01:22:58.093 INFO  HaplotypeCaller - Executing as graham@deathstar on Linux v4.15.0-142-generic amd64
01:22:58.093 INFO  HaplotypeCaller - Java runtime: Java HotSpot(TM) 64-Bit Server VM v14+36-1461
01:22:58.093 INFO  HaplotypeCaller - Start Date/Time: 15 June 2021 at 01:22:57 BST
01:22:58.093 INFO  HaplotypeCaller - ------------------------------------------------------------
01:22:58.093 INFO  HaplotypeCaller - ------------------------------------------------------------
01:22:58.094 INFO  HaplotypeCaller - HTSJDK Version: 2.24.0
01:22:58.094 INFO  HaplotypeCaller - Picard Version: 2.25.0
01:22:58.094 INFO  HaplotypeCaller - Built for Spark Version: 2.4.5
01:22:58.094 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
01:22:58.094 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
01:22:58.094 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
01:22:58.094 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
01:22:58.094 INFO  HaplotypeCaller - Deflater: IntelDeflater
01:22:58.094 INFO  HaplotypeCaller - Inflater: IntelInflater
01:22:58.094 INFO  HaplotypeCaller - GCS max retries/reopens: 20
01:22:58.094 INFO  HaplotypeCaller - Requester pays: disabled
01:22:58.094 INFO  HaplotypeCaller - Initializing engine
01:22:58.225 INFO  HaplotypeCaller - Done initializing engine
